Name,BirthDate,Age,BirthCity,BirthCountry
William Hartnell,8/01/1908,55,London,England
Patrick Troughton,25 March 1920,46,London,England
Jon Pertwee,7 July 1919,50,London,England
Tom Baker,20-January-1934,40,Liverpool,England
Peter Davison,13 April 1951,29,London,England
Colin Baker,8/June/1943,40,London,England
Sylvester McCoy,20 August 1943,44,Dunoon,Scotland
Paul McGann,14/11/1959,36,Liverpool,England
John Hurt,22 January 1940,73,Derbyshire,England
Chris Eccleston,16 Feb 1964,41,Salford,England
David Tennant,18 April 1971,34,Bathgate,Scotland
Matt Smith,28-10-1982,27,Northampton,England
Peter Capaldi,14 April 1958,55,Glasgow,Scotland
Jodie Whittaker,06/03/1982,35,Yorkshire,England
