Name,RA,DEC
Mizar,13.39872773,+54.92541525
Spica,13.41989015,-11.16124491
Alkaid,13.79237392,+49.31330288
Hadar,14.06373459,-60.37297840
Arcturus,14.2612076,+19.18726997
RigelKentaurusB,14.66094188,-60.83947139
RigelKentaurusA,14.66136068,-60.83514707
Izar,14.74979191,+27.07417383
Kochab,14.84510983,+74.15547596
Alphekka,15.57810819,+26.71491041
Unukalhai,15.7377766,+06.42551971
Antares,16.49012986,-26.43194608
Rasalgethi,17.24412845,+14.39025314
Shaula,17.56014624,-37.10374835
Rasalhague,17.58222354,+12.56057584
Etamin,17.94343829,+51.48895101
KausAustralis,18.40287397,-34.38431460
Vega,18.61560722,+38.78299311
Nunki,18.92108797,-26.29659428
Tarazed,19.77099171,+10.61326869
Altair,19.84630057,+08.86738491
Deneb,20.69053151,+45.28033423
Alderamin,21.30960598,+62.58545529
Enif,21.73642787,+09.87500791
Alnair,22.13718789,-46.96061593
Fomalhaut,22.96078488,-29.62183701
Scheat,23.06287038,+28.08245462
Markab,23.07933801,+15.20536786
